id,city,district
NPBL,新北市,八里區
NPSZ,新北市,三芝區
NPSC,新北市,三重區
NPSA,新北市,三峽區
NPTC,新北市,土城區
TPSH,台北市,士林區
TPDT,台北市,大同區
TPDA,台北市,大安區
TPZS,台北市,中山區
TPZZ,台北市,中正區
NPZH,新北市,中和區
NPWG,新北市,五股區
TPNH,台北市,內湖區
TPWS,台北市,文山區
TPBT,台北市,北投區
NPPX,新北市,平溪區
NPYH,新北市,永和區
NPSM,新北市,石門區
NPSD,新北市,石碇區
NPXI,新北市,汐止區
NPPL,新北市,坪林區
TPSS,台北市,松山區
NPBQ,新北市,板橋區
NPLK,新北市,林口區
NPJS,新北市,金山區
TPXY,台北市,信義區
TPNG,台北市,南港區
NPTA,新北市,泰山區
NPWL,新北市,烏來區
NPGL,新北市,貢寮區
NPTS,新北市,淡水區
NPSK,新北市,深坑區
NPXD,新北市,新店區
NPXZ,新北市,新莊區
NPRF,新北市,瑞芳區
NPWA,新北市,萬里區
TPWH,台北市,萬華區
NPSL,新北市,樹林區
NPSX,新北市,雙溪區
NPLZ,新北市,蘆洲區
NPYG,新北市,鶯歌區
