id,name,category,addr,desc,city,district,local_id
U031,新北市三峽區公有零售市場,優良市集,新北市三峽區民生街186號,三峽公有市場鄰近三峽老街，1至3樓為傳統市場，4樓為活動中心，地下室則為停車場；配合老街整體意象，特地以紅磚建築復古、質樸的外觀與老街連成一氣，成為視覺端點；另市場大樓已取得綠建築標章、資源節能回收使用的認證，是一棟符合節能與環保的公有市場。 市場內通風採光十分充足走道相當寬敞，且配置現代化設備，例如設置手扶梯讓消費者可直達3樓購物，提供消費者舒適的購物環境，另也設置有汽機車停車位進出交通十分方便，完全顛覆公有零售市場帶給一般社會大眾的印象。 攤商供應販賣各種生鮮肉品、新鮮蔬果、服飾、五金等用品，並有種類齊全的青菜蔬果及各式海產類，販賣種類十分豐富所以在此常常可見一家大小的採買身影，這裡是個充滿幸福的菜市場。,新北市,三峽區,NPSA
U032,新北市中和區枋寮公有零售市場,優良市集,新北市中和區中和路74號,中和區枋寮市場沿革： 枋寮市場於民國六十五年建成使用，立地條件極優，位於中和區歷史最悠久的廣濟宮正對面。市場規劃攤位113位，不但業種豐富、服務親切、乾淨衛生及停車方便，在商業司輔導下，自治會更發揮其功能凝聚共識，激發自我改善的決心。枋寮市場在中和區公所大力推動與攤商的全力配合下，獲選為全國優良傳統市場示範，更再九十年、九十一年、九十二年三年連續獲得經濟部頒發優良市場新象獎。攤商朋友十分珍惜辛苦得來的成果，對於賣場環境的維持相當努力，並訂有社區清潔日，定期號招市場攤商與外圍店家共同打掃環境；此外，枋寮市場並經常配合節慶辦理促銷活動，回饋地方。再近年內陸續完成多項硬體設施(如統一攤招、環境綠化、燈箱設置、採光雨棚、意象招牌、監視系統、中央空調冷氣、市場牆壁貼磁磚、公廁整修美化並增設安全設施以達到公廁人性使用化、加強公共設施消防安全、市場附設土地公廟及主題廣告招牌等)徹底展現有別於「傳統」市場的現代風貌。  枋寮市場是由中和廣濟宮所發展延伸出來的一個獨特商業環境，位在中和區人潮熙攘、車水馬龍的核心地區，成為當地民眾消費購物、年輕人逛街聚集的生活中心。市場內部維持得相當整潔清爽，全面採用中央空調冷氣，保持場內空氣對流循環通暢良好，並附有專屬的機車停車場，商品一應俱全，攤位整齊比鄰排列，讓前來購物的民眾更能夠以輕鬆的心情從容選購。  市場熱門商品：專營當日現撈的生猛海鮮(包括活蟹、活蝦、活烏賊及各種遠洋大魚)，廣受饕客們喜愛，生意興隆。 特色攤商：經營珠寶從款式設計、製造、鑑定至售後服務，最具專業誠信，用心服務有口碑，深受顧客信賴。 市場特色：業種豐富、服務親切、乾淨衛生、停車方便及有中央空調設備。 營業總類：果菜類、雜貨類、畜肉類、飲食類、禽肉類、糧食類、水產類、百貨類、其他類 交通資訊：枋寮市場門口站：聯營241、244、275、214、809、66(綠8土城3新店、土城5中和、10木柵) 中和廟口站：連營57、臺北客運214、311、大有巴士、基隆客運(基隆-板橋)。 鄰近重要街道：南山路、廣福路、泰和街、景平路,新北市,中和區,NPZH
U033,新北市永和區永安公有零售市場,優良市集,新北市永和區安樂路431號,永安公有零售市場沿革： 創設於民國51年開始營運，外毗鄰中和區界及自由街，面對安樂路市場外形成攤販集中區二百多個。 永安市場擁有獨特的地理位置，連結著中、永和許多交通要道，因此無論居住距離遠近，皆可選擇搭乘便利的捷運或公車直達目的地。且該市場距離四號公園不遠，不僅交通便利、購物方便，也是假日休閒的好選擇。 其販售種類多元，蔬菜、青果、魚肉海鮮等生鮮食品及五金雜貨等日常用品一應俱全，可滿足各種購物需求。 市場特色：販售各項生鮮水果及日常用品 營業種類：蔬菜類、青果類、魚肉類、家禽類、雜貨類、飲食類、百貨類及其他 交通資訊：永安捷運站，本市免費接駁公車D、E路線永安市場站，聯營公車275、311及臺北客運之永安市場站、214永和路口站、249、809及基隆客運之自由街口站 鄰近重要街道：永和路、自由街、安樂路、永貞路,新北市,永和區,NPYH
U034,新北市永和樂華攤集區,優良市集,新北市永和區保福路一段30號,樂華觀光夜市位於新北市永和區永平路上，離捷運站出口不遠。夜市有許多知名美食商家，如鹽酥雞、蚵仔煎、壽司店、滷味攤，每道都是便宜又大碗的絕品美食！夜幕低垂、街燈亮起後，樂華夜市更將永和點綴成了一座不夜城，是一處頗具地方特色的著名夜市。本次首度參與優良市集與樂活名攤評鑑，即獲得二星優良市集認證，未來自治會將朝向國際級觀光夜市邁進。,新北市,永和區,NPYH
U035,新北市汐止區金龍公有零售市場,優良市集,新北市汐止區中興路250號, 縣市：新北市 市場名稱：金龍市場 地址：新北市汐止區中興路250號 電話：02-2695-2680 網址：無 營業型態：早市(07：00~17：00) 總攤位數：133 內文說明： ‧現況介紹 發展迄今已有三十年歷史，佔地百坪且地下室備有停車場，方便來客停放汽機車，一樓則為金龍市場攤商營業販售用途，二樓以上為便民則規劃為里民活動中心，此舉亦拉近了市場攤商與社區居民的距離，金龍市場於週邊社區消費者之重要性不言而喻。此外，亦考慮到消費者之購物安全，特聘保全以確保顧客消費無虞，處處可見市場對於良好消費環境維護之用心。 除此之外，金龍市場自理組織與各攤商亦配合政府政策推動，為積極提升市場整體環境，另規劃出一空間，將活禽獨立豢養於市場外，活禽攤商共同建立不於市場內飼養及宰殺活禽之共識，以降低飛羽並避免血水穢物影響市場觀感，同時仍舊能夠提供消費者品質新鮮良好之現宰禽肉。  位在汐止中興路與康寧路附近的金龍市場，是汐止地區市場的標竿，附近民眾絡繹不絕，發展迄今已有三十年歷史，市場內有許多美食小吃名攤，每每都能看見排隊人潮。自治會經營用心，定期辦理促銷活動，並結合里民活動中心，與社區居民擁有非常良好的互動。此外，每天皆有專人負責整理清潔，並且定期消毒，讓逛市場的民眾感到衛生又安心。  ‧特色說明 1.全體攤商為維護環境乾淨整潔，訂定每週週五為市場清潔日 2.因應節慶假日，定期辦理促銷活動，與社區居民之互動良好 3.建物結合里民活動中心，市場不僅備有空調並建有空中花園 ,新北市,汐止區,NPXI
U036,新北市汐止區忠厚公有零售市場,優良市集,新北市汐止區樟樹一路137巷26號,縣市：新北市 市場名稱：忠厚市場 地址：新北市汐止區樟樹一路137巷26號 電話： 網址：無 營業型態：早市(07：00~19：00) 總攤位數：100 內文說明： ‧現況介紹 96年10月啟用，佔地2187平方公尺且地下室備有停車場，方便來客停放汽機車，一樓則為忠厚市場攤商營業販售用途，二樓以上為便民則規劃為里民活動中心及全國第一座忠厚公共托育中心。此外，考慮到消費者之購物安全，特聘保全以確保顧客消費無虞，處處可見市場對於良好消費環境維護之用心。  忠厚市場是一座新設立的傳統市集，它集合了各地市集的成功經營經驗與新式的攤位設計，是汐止最寬敞的傳統市場，潔淨乾爽的通道地板，加上舒適通風的中央空調，室內挑高寬敞明亮。市集內的商品種類與數量十分眾多、應有盡有，不僅成為主婦們精打細算的最愛、更讓許多年輕族群喜歡來這樣的環境購物。  ‧特色說明 1.因應節慶假日，定期辦理促銷活動，與社區居民之互動良好 3.建物結合里民活動中心，市場不僅備有空調,新北市,汐止區,NPXI
U037,新北市汐止區觀光夜市攤販集中區,優良市集,新北市汐止區新台五一段仁愛口,103年5月喬遷至水源路與大同路間高架橋下的汐止觀光夜市，從原本路邊空曠的用餐環境，到每個攤位都有著自己的用餐空間，美侖美奐的攤招與內部陳設，脫離了夜市路邊攤的模式。並裝設靜電除油煙設施，整體環境無油煙，廁所亦採用先進免沖水之設備，提昇了整個夜市的質感。加上原有的許多美食名攤，帶給汐止地區民眾晚上用參與遊逛的好去處。,新北市,汐止區,NPXI
U038,新北市汐止區黃昏攤販集中區,優良市集,新北市汐止區水源一段150號,汐止黃昏攤販集中區汐止火車站旁台鐵高架橋下，攤商擺設整齊，環境乾淨、通風明亮，提供汐止民眾各式生鮮、熟食，及在地生產蔬果。  汐止黃昏市場位居汐止火車站旁，交通方便，為下班民眾採購的最佳選擇。市場整體環境乾淨清潔，規劃良好，經營完善。營業種類以生鮮、雜貨為主要營業項目。攤商服務親切、價格公道，且商品擺設整齊，每週一次市場大掃除，維持攤位環境整潔。自治會運作自主且積極，重視綠色環保，亦自行辦理行銷活動，整體市場呈現欣欣向榮的氣氛。,新北市,汐止區,NPXI
U039,新北市板橋區黃石公有市場,優良市集,新北市板橋區宮口街37號,縣市：新北市 市場名稱：黃石市場 地址：新北市板橋區宮口街37號 電話：02-2969-3639 網址：無 營業型態：全日(07：00~17：00) 總攤位數：133 內文說明： 黃石市場地處大眾運輸集散地，並且有許多特色名攤在市場中，因此除了本地消費者以外，亦吸引不少外來客不遠千里來採買。此外又因緊鄰二級古蹟林家花園，因故市場週邊仍有建物保有原貌，亦有許多觀光客蒞臨黃石市場。這裡老字號的攤商多為民眾「呷好倒相報」或是網路上分享經典美食的食記，例如：老曹餛飩、王家肉羹...等。另外，市場不定期辦理促銷活動，並積極辦理公益活動，以拋磚引玉之姿帶動其消費者參與，不僅得以投身公益，更可活絡感情帶動商機。 ‧特色說明 1.市場內享譽盛名之攤商即為亮點，如行銷有道的老曹餛飩及廣受好評的王家肉羹 2.經常結合社區辦理活動活絡商機，如關懷視障慈善活動以及公益特賣溫馨傳情等 ,新北市,板橋區,NPBQ
U040,新北市板橋區湳雅觀光夜市(民營),優良市集,新北市板橋區南雅東路1-87、2-120,南雅觀光夜市位於新北市板橋區南雅東路一帶，又稱『板橋觀光夜市』，是新北市內規模最大的觀光夜市之一，以小吃攤位為主，服飾店面和雜貨用品為輔。  位於板橋南雅東路內的湳雅夜市，又稱為板橋觀光夜市，緊臨板橋舊火車站旁，人潮洶湧。夜市內著名小吃眾多，帶動地區繁榮，連同附近的商家也是燈火輝煌。湳雅夜市注重食品安全衛生，要求美食攤商均要出示檢驗證明，每年定期參與衛生講習，使消費者食得安心。夜市注重社區安全，落實市集消防自衛編組訓練，管理委員會組織健全完善、運作順暢，並熱心參與各項公益活動。,新北市,板橋區,NPBQ
