id,city,district,local_id,name,addr,TYPE,SUMMARY,TEL,PAYEX,SERVICETIME,TW97X,TW97Y,TOTALCAR,TOTALMOTOR,TOTALBIKE
10056,新北市,板橋區,NPBQ,遠東百貨停車場,板橋區中山路一段152號,2,立體式建築附設停車空間,,小型車計時每小時60元;,0~24時,296882,2767068,453,0,
30034,新北市,中和區,NPZH,南華停車場,中和區中和路281號邊,2,平面式臨時路外停車場,,小型車計時每小時20元;小型車月租每月3500元;,6~24時,301086,2765825,42,0,
30018,新北市,中和區,NPZH,板橋監理站停車場,中和區中山路三段116號,2,平面式多目標附建停車場,,機車計次每次10元;,8~17時,298037,2766531.5,0,200,
10008,新北市,板橋區,NPBQ,府後立體停車場,板橋區府中路32-1、32-2,2,立體式多目標附建停車場,2969-7281,小型車計時每小時20元;,0~24時,296277,2767002.5,150,0,
20023,新北市,三重區,NPSC,集美國小地下停車場,三重區集美街10號,2,立體式多目標附建停車場,,小型車月租每月3900元;小型車月租每月3000元;小型車月租每月1500元;,0~24時,299256.5,2772076.5,24,0,
230007,新北市,八里區,NPBL,十三行博物館第二停車場,八里區博物館路200號,2,平面式臨時路外停車場,,小型車計時每小時20元;小型車計時免費;,0~24時,290903.5,2783084,105,21,
30019,新北市,中和區,NPZH,中和國中停車場,中和區興南路二段3巷17號,2,平面式多目標附建停車場,,小型車月租每月1500元;,16~7時,301340,2764339,17,0,
110010,新北市,汐止區,NPXI,崇德國民小學停車場,汐止區茄苳路158號,2,立體式多目標附建停車場,,小型車月租每月500元;小型車月租每月1000元;,17~7時,317500,2773636.5,28,0,
60040,新北市,新店區,NPXD,崇光女子高中地下停車場,新店區三民路19號B2,2,立體式建築附設停車空間,,小型車月租每月3000元;,0~24時,304461.5,2762748.5,60,0,
80007,新北市,鶯歌區,NPYG,陶博館館後停車場,鶯歌區文化路200號,2,平面式多目標附建停車場,,小型車計次每次60元;,0~24時,285544.5,2760249,50,0,
120005,新北市,瑞芳區,NPRF,水湳洞停車場,瑞芳區水湳洞段4、4-1、27-3、27-9地號(台2線78.5K),2,平面式臨時路外停車場,,;,例假日8~21時,337177,2779563.5,300,0,
20051,新北市,三重區,NPSC,台灣省漁會三重示範魚市場停車場,三重區力行路一段6號,2,平面式多目標附建停車場,,小型車計時每小時30元;,0~24時,299273,2773234.5,110,0,
10028,新北市,板橋區,NPBQ,新北市立大觀國民中學停車場,板橋區僑中一街1號地下室,2,立體式多目標附建停車場,,小型車計時每小時20元;小型車月租每月4000元;,0~24時,295269,2767084,30,0,
110008,新北市,汐止區,NPXI,行政中心公有停車場,汐止區新台五路一段268號B1、B2,2,立體式建築附設停車空間,2641-1111,;,0~24時,316498,2773007.5,189,0,
20044,新北市,三重區,NPSC,成功室內停車場,三重區集美街61-1號,2,立體式建築附設停車空間,,機車免費免費;小型車月租每月3500元;,0~24時,299291.5,2771845.5,49,0,
170010,新北市,林口區,NPLK,麗林國小地下室停車場,林口區公園路46號(編號1至15、24至52供社區民眾租用，編號16至23公務用),2,立體式多目標附建停車場,,機車免費免費;小型車月租每月1500元;,18:30~07:00,287120,2773423.5,44,0,
60014,新北市,新店區,NPXD,柴埕活動中心附設停車場,新店區安民街79號B1、B2,2,立體式多目標附建停車場,2212-0662,機車免費免費;小型車月租每月3000元;,0~24時,302140.5,2762270,38,0,
60015,新北市,新店區,NPXD,新北市立文山國民中學停車場,新店區文中路38號,2,立體式多目標附建停車場,2913-4300,小型車月租每月2000元;,18~7時,304434,2761084,40,0,
30048,新北市,中和區,NPZH,永鐿中和連城停車場,中和區連城路114號旁,2,平面式臨時路外停車場,,小型車計時每小時50元;小型車月租每月5000元;機車月租每月800元;機車計次每次20元;,0~24時,300078,2765850.5,50,84,
90009,新北市,三峽區,NPSA,國立臺北大學三峽校區停車場,新北市三峽區大學路151號,2,平面式多目標附建停車場,2673-1949,大型車計次每次100元;小型車計次每次50元;,23~06時,287673,2759737.5,40,0,
