stand_id,stand_name,username
U031001,KT小舖,sgjxr838
U031002,三峽大腸圈,geakq5701
U031003,正一台東放山雞,oyldz6920
U031004,金信海鮮批發,yhwrj401
U031005,珈琲瑀,edfen914
U031006,認證有機蔬果,gonmz5222
U031007,禛品屋,vvfos131
U031008,彌樂堡德式田園麵包,czfwx743
U032001,牟家青島水餃,sgjxr838
U032002,東方嘉華服飾精品,geakq5701
U032003,香菇麻糬舖,ioeyn6689
U032004,福濱水果行,jwiay2313
U032005,糖果舖,apgrm804
U032006,馥香雞,mlqrn2744
U033001,三合食品,akujd4143
U033002,土霸王-漢方雞,geakq5701
U033003,永安包子店,jdzkm6403
U033004,草上飛刀專賣店,qwsxt174
U033005,萱品豐珠寶,eiilw660
U034001,小栗日本料理,rmymk4398
U034002,小義大利咖啡,lcnbs868
U034003,川麻辣臭豆腐,puvuz131
U034004,永美雪花冰,yuhwt585
U034005,阿蓮米粉湯,uvarj1087
U034006,福賓牛排館,xdgcz180
U034007,蒜頭奶奶豆乳雞,heksy193
U035001,5.8度C涼麵,nfhvf2986
U035002,79號,tlqyo850
U035003,三兄弟雞肉,zlsna2555
U035004,宇記肉鬆,hoykd3188
U035005,汐止百年紅龜店,cnrrk5701
U035006,米粉湯,bhgbo6217
U035007,東海糙米雞,bybqy0
U035008,阿圳蔬菜,oabwj5947
U035009,阿宏鮮魚號,xuetr7181
U035010,蔡ㄟ鮮,zsjeo9561
U036001,千金方漢藥鋪,okkkm180
U036002,生鮮24(黃榮熙),fizhj131
U036003,地下錢莊香鋪,hytvr791
U036004,阿妹蔬果攤,djwnf660
U036005,感恩蔬菜行,ufepz1645
U037001,大拇指鹽酥雞(50號),ettbt1922
U037002,大嫂健康飲料(58號),pfvct2744
U037003,大慶牛排(59號),saxnq680
U037004,芋ㄋㄧˊ 娃娃(61號),kumcn6920
U037005,林師父義大利麵(39號),urqnn8679
U037006,長昇小吃店(92號),luapj1922
U037007,阿榮肉圓(77號),mwaod6094
U037008,剉冰女王冰點屋(82號),wbsqv2555
U037009,桶神滷味(16號),tdcgl350
U037010,陳家當歸鴨(62號),negz0
U037011,陳隆豬腳(83號),btqz743
U037012,圓環小吃(68號),trpi771
U037013,瑞芳龍鳳腿(13號),cdic101
U037014,慶源傳統美食(32號),dpmo680
U037015,蔡媽媽歡樂冰品屋(71號),ribd970
U037016,餓一ㄠ呷麵(70號),wgep4596
U037017,蠔門(21號),dwxr180
U038001,山東手工水餃,jrck3188
U038002,王廷子燒雞,aeqj9356
U038003,包先生傳統美食,aycc5472
U038004,汐止水果王,knad180
U038005,宜家鮮蔬園,lmqk1231
U038006,明珠海鮮,kaki413
U038007,東港生魚片,zkni515
U038008,阿立拉拉山蔬果專門鋪,yueg24
U038009,阿宗豬肉,wthf9121
U038010,莠莠蔬果,mcjn914
U039001,王家肉羹,vvng2125
U039002,王家黃石肉羹,ufjd398
U039003,老曹餛飩,kzvo643
U039004,阿海台東奄雞,idsd7989
U039005,風權號牛肉店,octf99
U040001,牛狠燒-火烤骰子牛,otkc619
U040002,正新肉圓,piur1645
U040003,正新營肉圓,nwpt7181
U040004,印度及泰式拉茶,yibk585
U040005,板橋宋家,ivbh5472
U040006,眼鏡仔豬血湯,uuni8854
U040007,許記藥膳之家,glra1645
U040008,黃金烤雞腿,mory1645
U040009,黃家優格霜淇淋,pwve296
U040010,黃家優格雙淇淋,hmdd2313
U040011,愛斯基摩手工冰淇淋,rsln180
U040012,煙燻滷味,zxme101
U040013,養身茶舖,fmwd4398
U040014,雞窩酥雞,vgcw533
U041001,文華燒雞鴨鋪,ejcv791
U041002,昱達火鍋,exym99
U041003,泰興豬肉品,izci426
U041004,新東源肉鬆食品,qfek296
U042001,有餘本舖,hekp8403
U042002,邱記21,xmum296
U042003,金水黑毛豬,fxxd9561
U043001,秀英水果行(5號),rccs257
U043002,阿郎魚丸店(49號),xapf7989
U043003,曾亞米魚荖本舖,dbtl350
U044001,Aone領鮮果汁牛奶專賣,sxob305
U044002,Aone領鮮果汁牛奶專賣店,bnvt2125
U044003,八里水產,skvq222
U044004,三界油飯,wkacgy193
U044005,世介勇甘蔗雞,lfurfq4143
U044006,加意蜂蜜茶鵝,uilrle643
U044007,光美百貨,mvpake9121
U044008,衣之藝服飾,oiqbzb1560
U044009,吳媽媽手工水餃,hfaqyb850
U044010,豆花、米苔目、紅豆湯,tycjzt660
U044011,長榮精品,xlvxqo156
U044012,長榮精品鐘錶洋酒茶葉,ywcgpr3613
U044013,阿月姊青菜古早味雞捲,kwvsfb5701
U044014,阿美清潔蔬菜,bhopam4398
U044015,家錚雜貨鋪,jhzfsy0
U044016,細將咖啡,ebalyc736
U044017,喜元坊,pldzjo7602
U044018,惠珍純手工水餃,rbayfg981
U044019,惠茹小舖,dfobdo660
U045001,王記,aftgzc7356
U045002,幸福之咖啡,vymsim5222
U045003,御之田,gjzpfu2744
U045004,黑金傳奇-薑母茶,cbyzpm948
U046001,太儀美味商店,qasfgv79
U046002,玉品居珠寶店,ioxbwr368
U046003,食尚美食,zkwvoq743
U047001,阿伯老店(T44),fqzjyq743
U047002,連莊美食(T33),swimqx914
U047003,福州林記胡椒餅(T24),tlq7181
U047004,豐味肉羹(T8),bpn555
U047005,鐵板燒(T28),phe482
U048001,小雅早餐,adt804
U070001,121有機素食,eso914
U070002,Coffee and Tea,vmk4700
U070003,士東牛肉莊,xmw6094
U070004,天母鵝雞肉亭,scg6403
U070005,四行倉庫,lwn643
U070006,安麗精品店,jzv477
U070007,奇香肉鬆,mac1645
U070008,采縈小舖,rjh2744
U070009,阿雪生鮮有機蔬菜,qfr482
U070010,童家饅頭,ihp771
U070011,嘉篁藝品,ufs660
U070012,魏記水餃,yyk193
U071001,沈記原汁牛肉麵,czp24
U071002,南北盆景鮮花店,fhm477
U071003,南北雞鴨店,onl101
U071004,益宏食品行,gmp704
U071005,滋美珍肉脯店,wtp948
U071006,蛤蛤世界,zzm791
U072001,鼎A9台灣肉類食品名店,ddj4596
U073001,幼娟手作工坊,kfv680
U073002,正興雞鴨店,hlr743
U073003,永順蔬菜,lb1231
U073004,立家湖州粽,xm5222
U073005,光揚土雞店,vv1231
U073006,老林記素食齋菜,jn914
