id,name,phone,desc,market_id,market,local_id,vendor_username
U031001,KT小舖,0920-762885,日本卡通精品(Hello Kitty)專賣店,U031,新北市三峽區公有零售市場,NPSA,sgjxr838
U031002,三峽大腸圈,0927-679090,大腸圈,U031,新北市三峽區公有零售市場,NPSA,geakq5701
U031003,正一台東放山雞,0988-526-893,台東關山、正土雞、放山雞及各式雞種,U031,新北市三峽區公有零售市場,NPSA,oyldz6920
U031004,金信海鮮批發,0933-003634,現撈切片魚及活魚,U031,新北市三峽區公有零售市場,NPSA,yhwrj401
U031005,珈琲瑀,8672-0204,咖啡、鬆餅及點心,U031,新北市三峽區公有零售市場,NPSA,edfen914
U031006,認證有機蔬果,0931-330443,認證有機蔬果、雜糧及雞蛋,U031,新北市三峽區公有零售市場,NPSA,gonmz5222
U031007,禛品屋,0920-851901,日韓精品,U031,新北市三峽區公有零售市場,NPSA,vvfos131
U031008,彌樂堡德式田園麵包,0956-991758,麵包、吐司,U031,新北市三峽區公有零售市場,NPSA,czfwx743
U032001,牟家青島水餃,0910-331-244,水餃、韭黃鮮蝦水餃、素食水餃、胡瓜水餃,U032,新北市中和區枋寮公有零售市場,NPZH,sgjxr838
U032002,東方嘉華服飾精品,0933-045-387,精美舶來品、服飾、包包、配件,U032,新北市中和區枋寮公有零售市場,NPZH,geakq5701
U032003,香菇麻糬舖,0975-317-105,當季韓國時尚服飾配件，並且為傳統市場內，少數提供刷卡服務之攤舖,U032,新北市中和區枋寮公有零售市場,NPZH,ioeyn6689
U032004,福濱水果行,0928-819-935,時令新鮮水果,U032,新北市中和區枋寮公有零售市場,NPZH,jwiay2313
U032005,糖果舖,0937-060-472,日、韓特有糖果餅乾，包含多項日本地區限定商品。,U032,新北市中和區枋寮公有零售市場,NPZH,apgrm804
U032006,馥香雞,無,鹽水雞、甘蔗雞、香雞油,U032,新北市中和區枋寮公有零售市場,NPZH,mlqrn2744
U033001,三合食品,0927-890-079,新鮮火鍋料、炸物,U033,新北市永和區永安公有零售市場,NPYH,akujd4143
U033002,土霸王-漢方雞,0960-573-293,漢方雞、滴雞精,U033,新北市永和區永安公有零售市場,NPYH,geakq5701
U033003,永安包子店,0922-793-749,上海式青江菜包,U033,新北市永和區永安公有零售市場,NPYH,jdzkm6403
U033004,草上飛刀專賣店,(02)2924-6186,各式別具風格的菜刀,U033,新北市永和區永安公有零售市場,NPYH,qwsxt174
U033005,萱品豐珠寶,(02)2920-1714,玉飾、水晶、琥珀,U033,新北市永和區永安公有零售市場,NPYH,eiilw660
